datetime,computer,light,hvac,etc
2014.10.1 0:00,0.131661,0.235755,0.001463,
2014.10.1 0:15,,0.235751,0.001452,
2014.10.1 0:30,0.120439,0.235295,0.001449,
2014.10.1 0:45,0.110145,0.235478,,
2014.10.1 1:00,0.11355,0.230837,,
2014.10.1 1:15,0.098298,0,0.001439,0.049072
2014.10.1 1:30,0.095943,0,0.001453,0.044172
2014.10.1 1:45,0.095867,0,0.00145,
2014.10.1 2:00,0.096773,0,0.001458,0.044057
2014.10.1 2:15,,0,0.001443,0.049508
2014.10.1 2:30,0.098001,0,0.001475,0.048188
2014.10.1 2:45,0.095543,0,0.001467,0.047011
2014.10.1 3:00,0.096006,0,0.001458,
2014.10.1 3:15,0.092667,0,0.001456,
2014.10.1 3:30,0.092879,0,0.001454,0.053047
2014.10.1 3:45,0.092598,0,0.001446,
2014.10.1 4:00,0.092292,0,0.001454,
2014.10.1 4:15,0.092284,0,0.001444,
2014.10.1 4:30,0.092447,0,0.001454,
2014.10.1 4:45,0.092542,0,0.001482,
2014.10.1 5:00,,,,
2014.10.1 5:15,,,,
2014.10.1 5:30,,,,
2014.10.1 5:45,,,,
2014.10.1 6:00,,,,
2014.10.1 6:15,,,,
2014.10.1 6:30,,,,
2014.10.1 6:45,,,,
2014.10.1 7:00,,,,
2014.10.1 7:15,,,,
2014.10.1 7:30,,,,
2014.10.1 7:45,,,,
2014.10.1 8:00,0.092742,0,0.001391,
2014.10.1 8:15,0.095081,0,0.001394,
2014.10.1 8:30,0.096184,0.007987,0.001383,
2014.10.1 8:45,0.097499,0.152851,0.001385,0.050297
2014.10.1 9:00,0.096122,0.150973,0.001413,
2014.10.1 9:15,0.098726,0.150467,0.001426,0.047005
2014.10.1 9:30,0.156806,0.150035,0.001419,
2014.10.1 9:45,0.15857,0.149658,0.001408,
2014.10.1 10:00,0.174012,0.149243,0.001411,
2014.10.1 10:15,0.190651,0.202805,0.001414,0.051369
2014.10.1 10:30,0.208427,0.32671,0.001396,
2014.10.1 10:45,0.172754,0.364438,0.001413,
2014.10.1 11:00,0.169127,0.386915,0.001401,0.049438
2014.10.1 11:15,0.169401,0.386546,0.001394,
2014.10.1 11:30,0.169319,0.385935,0.001388,0.046706
2014.10.1 11:45,0.166411,0.38619,0.001372,
2014.10.1 12:00,0.191866,0.386661,0.001385,
2014.10.1 12:15,0.147782,0.386445,0.001405,
2014.10.1 12:30,0.133511,0.388376,0.001415,
2014.10.1 12:45,0.148204,0.386176,0.001425,
2014.10.1 13:00,0.215636,0.383581,0.001404,0.042815
2014.10.1 13:15,0.217459,0.380866,0.001398,0.057949
2014.10.1 13:30,0.219999,0.380105,0.001351,
2014.10.1 13:45,0.219024,0.380962,0.001359,0.05561
2014.10.1 14:00,0.216002,0.38046,0.001366,
2014.10.1 14:15,0.200488,0.380241,0.001344,
2014.10.1 14:30,0.218518,0.383097,0.001391,
2014.10.1 14:45,0.234549,0.385794,0.00139,
2014.10.1 15:00,0.197947,0.38734,0.001368,
2014.10.1 15:15,0.164822,0.388764,0.001394,0.044364
2014.10.1 15:30,0.19367,0.361299,0.001394,
2014.10.1 15:45,0.205658,0.294436,0.001391,
2014.10.1 16:00,0.199659,0.293743,0.001379,
2014.10.1 16:15,0.204564,0.294427,0.001404,
2014.10.1 16:30,0.266969,0.295005,0.001412,
2014.10.1 16:45,0.394067,0.295578,0.001414,0.046965
2014.10.1 17:00,0.254055,0.29703,0.001365,0.059018
2014.10.1 17:15,0.244804,0.297168,0.001415,
2014.10.1 17:30,0.244691,0.29734,0.001389,
2014.10.1 17:45,0.250454,0.297135,0.001386,
2014.10.1 18:00,0.207195,0.296593,0.001425,0.045649
2014.10.1 18:15,0.192425,0.296006,0.00141,
2014.10.1 18:30,0.147272,0.295109,0.001391,
2014.10.1 18:45,0.134667,0.29575,0.001388,0.051578
2014.10.1 19:00,0.148814,0.295442,0.001425,
2014.10.1 19:15,0.149088,0.294224,0.001404,
2014.10.1 19:30,0.18033,0.294328,0.001445,
2014.10.1 19:45,0.174624,0.294533,0.001435,0.0539
2014.10.1 20:00,0.171527,0.294831,0.001429,0.044619
2014.10.1 20:15,0.208082,0.295299,0.001432,
2014.10.1 20:30,0.198648,0.296267,0.001424,
2014.10.1 20:45,0.191445,0.297394,0.001458,0.051693
2014.10.1 21:00,0.136472,0.298358,0.001446,
2014.10.1 21:15,0.173549,0.298627,0.001469,0.049815
2014.10.1 21:30,0.208585,0.298621,0.001454,0.049077
2014.10.1 21:45,0.140739,0.298207,0.001463,0.047933
2014.10.1 22:00,0.130722,0.298339,0.001451,0.051031
2014.10.1 22:15,0.134401,0.298782,0.001441,
2014.10.1 22:30,0.129265,0.299855,0.001456,
2014.10.1 22:45,0.120079,0.297791,0.001457,
2014.10.1 23:00,0.127426,0.235729,0.00143,0.051531
2014.10.1 23:15,0.126131,0.237296,0.00145,0.047262
2014.10.1 23:30,0.12187,0.238225,0.001437,
2014.10.1 23:45,0.117257,0.239504,0.001431,
2014.10.2 0:00,0.136099,0.239539,0.001451,
2014.10.2 0:15,0.129647,0.239597,0.001453,
2014.10.2 0:30,0.117435,0.24021,0.001438,0.044621
2014.10.2 0:45,0.104271,0.240808,0.001463,
2014.10.2 1:00,0.122783,0.239759,0.00144,
2014.10.2 1:15,0.130115,0.239868,0.00146,
2014.10.2 1:30,0.122995,0.240654,0.001474,0.046784
2014.10.2 1:45,0.121551,0.241475,0.001446,
2014.10.2 2:00,0.123637,0.241518,0.001452,
2014.10.2 2:15,0.12416,0.241997,0.001437,
2014.10.2 2:30,0.123782,0.239018,0.001458,
2014.10.2 2:45,0.123606,0.238951,0.001441,
2014.10.2 3:00,0.121395,0.239729,0.001415,
2014.10.2 3:15,0.098067,0.239356,0.001424,
2014.10.2 3:30,0.095055,0.23905,0.001455,0.050567
2014.10.2 3:45,0.101273,0.239618,,
2014.10.2 4:00,0.116603,0.240151,0.001497,
2014.10.2 4:15,0.118915,0.239478,0.001448,0.053161
2014.10.2 4:30,0.119128,0.228865,0.001444,
2014.10.2 4:45,0.109993,0,0.001402,0.049013
2014.10.2 5:00,0.103266,0,0.001386,
2014.10.2 5:15,0.101763,0,0.001391,0.044726
2014.10.2 5:30,0.101413,0,0.001373,
2014.10.2 5:45,0.101038,0,0.001403,
2014.10.2 6:00,0.101091,0,0.00142,
2014.10.2 6:15,0.101235,0,0.001436,0.043095
2014.10.2 6:30,0.101345,0,0.001421,
2014.10.2 6:45,0.100826,0,0.001418,
2014.10.2 7:00,0.100957,0,0.001422,
